name,id,release_date,total_tracks,link,img,band_spotify_id,band_spotify_name,band_spotify_popularity,band_spotify_link,band_genre,genres
Take Off Your Pants And Jacket,3nHpBmW5wJXGeC3ojBkpey,2001-01-01,13,https://open.spotify.com/album/3nHpBmW5wJXGeC3ojBkpey,https://i.scdn.co/image/ab67616d0000b27354a8f4f9158546472fbb7280,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
"The Mark, Tom And Travis Show (The Enema Strikes Back!) [Live]",1rkcABZWlix3sYH6XLUSAz,2000-01-01,21,https://open.spotify.com/album/1rkcABZWlix3sYH6XLUSAz,https://i.scdn.co/image/ab67616d0000b2735e6cb7bd362671e2c2212ff9,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Enema Of The State,652N05EcNH1a4bIlUixQE2,1999-06-01,12,https://open.spotify.com/album/652N05EcNH1a4bIlUixQE2,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Dude Ranch,0RADUK8yTUBidzBke6Eszq,1997-06-17,15,https://open.spotify.com/album/0RADUK8yTUBidzBke6Eszq,https://i.scdn.co/image/ab67616d0000b2730153faf0def5084faabe2b0f,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Cheshire Cat,6uTjljlshthbtA2U7V6u83,1995-01-01,16,https://open.spotify.com/album/6uTjljlshthbtA2U7V6u83,https://i.scdn.co/image/ab67616d0000b27375a98bb95ef4bc7faffc3592,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Buddha,5I6NuHaiAe8nz2cC2ZPqBw,1994-01-01,14,https://open.spotify.com/album/5I6NuHaiAe8nz2cC2ZPqBw,https://i.scdn.co/image/ab67616d0000b2733d3b60439616a720ee90b464,6FBDaR13swtiWwGhX1WQsP,blink-182,80,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,pop punk,"['punk rock', 'pop punk', 'punk', 'rock', 'alternative']"
Saviors (édition de luxe),4zKDEETipertKv25vuieqG,2025-08-29,24,https://open.spotify.com/album/4zKDEETipertKv25vuieqG,https://i.scdn.co/image/ab67616d0000b273f0541c8b9a3d4c77549d1d64,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
American Idiot (20th Anniversary Deluxe Edition),19ObsGobUuBr11M6ysFMug,2024-10-25,57,https://open.spotify.com/album/19ObsGobUuBr11M6ysFMug,https://i.scdn.co/image/ab67616d0000b2738214d54694cb9813927f7f3f,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Saviors,4AIeqAMDyIT884A9uA2A0i,2024-01-19,15,https://open.spotify.com/album/4AIeqAMDyIT884A9uA2A0i,https://i.scdn.co/image/ab67616d0000b2734e805200727de6c107de5b33,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Dookie (30th Anniversary Deluxe Edition),47l8TkJCLzHaekHImz1e9g,2023-08-17,65,https://open.spotify.com/album/47l8TkJCLzHaekHImz1e9g,https://i.scdn.co/image/ab67616d0000b27367af2f45da294feb6d31e6a8,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Nimrod (25th Anniversary Edition),4R802IhlcVX7z3m7xyp7zC,2023-01-27,52,https://open.spotify.com/album/4R802IhlcVX7z3m7xyp7zC,https://i.scdn.co/image/ab67616d0000b2737ef017f993390bc3f8a58c2e,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
BBC Sessions (Live),7igexfyHGnY4qMAyOzc4q8,2021-12-10,16,https://open.spotify.com/album/7igexfyHGnY4qMAyOzc4q8,https://i.scdn.co/image/ab67616d0000b27317eb54045180962bcbe7a505,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Insomniac (25th Anniversary Deluxe Edition),2nrqcI2e61NN375lBaQIg0,2021-03-19,22,https://open.spotify.com/album/2nrqcI2e61NN375lBaQIg0,https://i.scdn.co/image/ab67616d0000b27341fdf039e07a1706f4e900eb,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
No Fun Mondays,6pjuzPdAkJPdNBiKzcloXL,2020-11-27,14,https://open.spotify.com/album/6pjuzPdAkJPdNBiKzcloXL,https://i.scdn.co/image/ab67616d0000b273f625b5ead463ba98f532aad8,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Father of All...,7ij8wQxCAexZiXZbMOHcxE,2020-02-07,10,https://open.spotify.com/album/7ij8wQxCAexZiXZbMOHcxE,https://i.scdn.co/image/ab67616d0000b273f757eba1f769da8bfa74e804,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Revolution Radio,5a3LqvNt2nv1B4aRKXmgOV,2016-10-07,12,https://open.spotify.com/album/5a3LqvNt2nv1B4aRKXmgOV,https://i.scdn.co/image/ab67616d0000b273af71e889d130283bcd08b8a7,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
Demolicious,7prfPBMbgDyhq7kdpM0R9v,2014-04-19,18,https://open.spotify.com/album/7prfPBMbgDyhq7kdpM0R9v,https://i.scdn.co/image/ab67616d0000b273740dfb020fd372630e258f26,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
¡TRÉ!,1t9rzuEEFVHPdqRYzsaWC8,2012-12-11,12,https://open.spotify.com/album/1t9rzuEEFVHPdqRYzsaWC8,https://i.scdn.co/image/ab67616d0000b273c74c3e486e2abe5fd55a8676,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
¡DOS!,71rrqHKVkUFx2CSVfxrrLs,2012-11-13,13,https://open.spotify.com/album/71rrqHKVkUFx2CSVfxrrLs,https://i.scdn.co/image/ab67616d0000b273a84994855921f317b6ce0096,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
¡UNO!,6AFJIZmd1zWQDBBwHyeo9w,2012-09-24,12,https://open.spotify.com/album/6AFJIZmd1zWQDBBwHyeo9w,https://i.scdn.co/image/ab67616d0000b273ce8443b89b042130a2e6115b,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
21st Century Breakdown,1AHZd3C3S8m8fFrhFxyk79,2009-05-15,18,https://open.spotify.com/album/1AHZd3C3S8m8fFrhFxyk79,https://i.scdn.co/image/ab67616d0000b273c2ced39899b0d67cd5a724fa,7oPftvlwr6VrsViSDV7fJY,Green Day,84,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,punk,"['punk rock', 'rock', 'punk', 'pop punk', 'alternative']"
